Season	Episode	Joker	Name	Laughed?	Unused?
6	6: Footloose	Joe	Abraham Von Cameltoe		🚫
6	6: Footloose	Joe	Bony Orlando		🚫
6	6: Footloose	Murr	Diddy Doodat		
6	6: Footloose	Murr	Cleavage McNamara	😆	
6	6: Footloose	Murr	Queen Skeet		
6	6: Footloose	Murr	Yanni Van Halen		
6	6: Footloose	Murr	Colonel Indiana Longnuts		
6	6: Footloose	Murr	Jabreakit Jubawdit	😆	
6	6: Footloose	Murr	Gregory Poopsicle	😆	
6	6: Footloose	Murr	Deplane Deplane		🚫
6	6: Footloose	Murr	Salsdad Iscool		🚫
6	6: Footloose	Murr	Chaunty Stank		🚫
6	6: Footloose	Murr	Miso Corny		🚫
6	6: Footloose	Murr	Gargary Garygar		🚫
6	6: Footloose	Murr	Tatianna Ohnoyoudidnt		🚫
6	6: Footloose	Murr	Laronda Oyesshedid		🚫
6	6: Footloose	Murr	Fuk Fatch		🚫
6	6: Footloose	Q	Stunk Beagle		
6	6: Footloose	Q	Irish O'African		
6	6: Footloose	Q	Cowabunga Peppermill	😆	
6	6: Footloose	Q	Simmy Kantstandyourbitz Jr.		
6	6: Footloose	Q	Henny Cabbagehead		
6	6: Footloose	Q	Guy Hutookatit		
6	6: Footloose	Q	Sharty Waffles	😆	
6	6: Footloose	Q	Secret Agent Randy Beans	😆	
6	6: Footloose	Q	Imafraid Jumitbeeinnagang		
6	6: Footloose	Q	Tikles Van Buren		🚫
6	6: Footloose	Q	Geppetto Cream Cheese		🚫
6	6: Footloose	Q	Mawas Fordinner		🚫
6	6: Footloose	Q	Allbutter Poundloaf		🚫
6	6: Footloose	Q	Slimber Chock		🚫
6	6: Footloose	Q	Gaylord Suitcase		🚫
6	6: Footloose	Sal	Nabi Cankles	😆	
6	6: Footloose	Sal	Reverend Donk Bonkers		
6	6: Footloose	Sal	Real Hefty Trout		
6	6: Footloose	Sal	Eyeluvver Butterdogsheds		
6	6: Footloose	Sal	Jerry Seinfeld		
6	6: Footloose	Sal	Mark-Pat Joe-Bill Dinosaur		
6	6: Footloose	Sal	Wazda Deelwifkramer		
6	6: Footloose	Sal	Hufokkin Tonight	😆	
6	6: Footloose	Sal	Mother Coconuts	😆	
6	6: Footloose	Sal	Darcy St. Coos		🚫
6	6: Footloose	Sal	Prairiedog Muffleman		🚫
6	6: Footloose	Sal	Bernie Cripenski		🚫
6	6: Footloose	Sal	Bert Sherbetbert		🚫
6	6: Footloose	Sal	Ponds Macklamara		🚫
6	6: Footloose	Sal	Mahatma Magerkin		🚫
6	6: Footloose	Sal	Hollen Tunnel		🚫
7	12: Bull Shiatsu	Sal	Juanita Indacaboosa		
7	12: Bull Shiatsu	Sal	Daniel Picnic Handsomes, US Coast Guard		
7	12: Bull Shiatsu	Sal	Heimlich Manure	😆	
7	12: Bull Shiatsu	Sal	Eetwont Flush	😆	
7	12: Bull Shiatsu	Sal	Son Ambulance		
7	12: Bull Shiatsu	Sal	Ita Dapeeza		
7	12: Bull Shiatsu	Sal	Faith Bitch	😆	
7	12: Bull Shiatsu	Sal	Ol' Fashioned Handy	😆	
7	12: Bull Shiatsu	Joe	Remo Gatto		
7	12: Bull Shiatsu	Joe	Dusty Scarole	😆	
7	12: Bull Shiatsu	Joe	High Priestess Gabagool		
7	12: Bull Shiatsu	Joe	Aunt Tim		
7	12: Bull Shiatsu	Joe	Damm Shawty	😆	
7	12: Bull Shiatsu	Joe	Bicurious George		
7	12: Bull Shiatsu	Joe	Dick Dump	😆	
7	12: Bull Shiatsu	Joe	A. Long Squirtz	😆	
7	12: Bull Shiatsu	Murr	Oprahs		
7	12: Bull Shiatsu	Murr	Mort Spandex		
7	12: Bull Shiatsu	Murr	Goose Boils		
7	12: Bull Shiatsu	Murr	Cleo Dookieslide	😆	
7	12: Bull Shiatsu	Murr	Hercules Balls	😆	
7	12: Bull Shiatsu	Murr	Tristin Mays	😆	
7	12: Bull Shiatsu	Murr	Jergens Turdley		
7	12: Bull Shiatsu	Murr	Fudgy Perks		
7	12: Bull Shiatsu	Q	Earl Turlet	😆	
7	12: Bull Shiatsu	Q	Thighs McPartland		
7	12: Bull Shiatsu	Q	Flo Jobb		
7	12: Bull Shiatsu	Q	Keratine Treatmentz	😆	
7	12: Bull Shiatsu	Q	Corky Marinara		
7	12: Bull Shiatsu	Q	Jitzwad Gumlord		
7	12: Bull Shiatsu	Q	Freddurst Edgebono	😆	
7	12: Bull Shiatsu	Q	Professor Milk Dick, Ph.D	😆	
7	12: Bull Shiatsu	Unknown	Charlie Neverwipes		🚫
7	12: Bull Shiatsu	Unknown	PingPong DingDong		🚫
7	12: Bull Shiatsu	Unknown	Reverand Dino Parmesan		🚫
7	12: Bull Shiatsu	Unknown	Debrah OrCredit		🚫
7	12: Bull Shiatsu	Unknown	Doctor Me Hungwee		🚫
7	12: Bull Shiatsu	Unknown	Tubby Valentine		🚫
7	12: Bull Shiatsu	Unknown	Rustic Hillbilly		🚫
7	12: Bull Shiatsu	Unknown	May Touch-Touch		🚫
7	12: Bull Shiatsu	Unknown	Townes von Applesticks		🚫
7	12: Bull Shiatsu	Unknown	Lady Sewage		🚫
7	12: Bull Shiatsu	Unknown	Dude Pits		🚫
7	12: Bull Shiatsu	Unknown	Scary Mary DogFace		🚫
7	12: Bull Shiatsu	Unknown	Cleon Hooters		🚫
7	12: Bull Shiatsu	Unknown	Obese Jackson		🚫
7	12: Bull Shiatsu	Unknown	Hammer Macaroni		🚫
7	12: Bull Shiatsu	Unknown	Hank Panky		🚫
7	12: Bull Shiatsu	Unknown	Anthony Panthony		🚫
8	17: Urine Trouble	Murr	Pamela Anderson Cooper		
8	17: Urine Trouble	Murr	Don Day Elbaño		
8	17: Urine Trouble	Murr	Prakash Indeep Doo-Doo (Deedee Megadoodoo)	😆	
8	17: Urine Trouble	Murr	Jacquette Sparkles		
8	17: Urine Trouble	Murr	Detective Bluto Mindpretzel	😆	
8	17: Urine Trouble	Murr	Chinese Name	😆	
8	17: Urine Trouble	Q	Uma Thermos		
8	17: Urine Trouble	Q	Uncle Ratfoot	😆	
8	17: Urine Trouble	Q	Doreen Kindasmells	😆	
8	17: Urine Trouble	Q	Gucci Membrane	😆	
8	17: Urine Trouble	Q	Bunt Klut		
8	17: Urine Trouble	Q	Beverly HillsCop II	😆	
8	17: Urine Trouble	Q	Egyptian Diplomat Amber Slides		
8	17: Urine Trouble	Sal	Frank Sampson	😆	
8	17: Urine Trouble	Sal	Melt Gibsont	😆	
8	17: Urine Trouble	Sal	Rodrigo Astroturd	😆	
8	17: Urine Trouble	Sal	Giuseppe Gottabigdong	😆	
8	17: Urine Trouble	Sal	Joaquin Baloney	😆	
8	17: Urine Trouble	Sal	Christine Christina Whichizzitt		
8	17: Urine Trouble	Sal	Dr. Duckdick		
8	17: Urine Trouble	Joe	Bette Diddler		
8	17: Urine Trouble	Joe	Dooblus Dooizfour		
8	17: Urine Trouble	Joe	Gal Godonut	😆	
8	17: Urine Trouble	Joe	Mite B. DeCarburetor		
8	17: Urine Trouble	Joe	Jarnathan Toothass		
8	17: Urine Trouble	Joe	Big Pittsohio		
8	17: Urine Trouble	Joe	Butch A.F.	😆	
8	17: Urine Trouble	Joe	Holden Afart	😆	
9	5: Bleach for America	Murr	Luke Johnson	😆	
9	5: Bleach for America	Murr	Vladimir Ploppers		
9	5: Bleach for America	Murr	Macadamia Butt		
9	5: Bleach for America	Murr	Mac Boot Pro	😆	
9	5: Bleach for America	Murr	Mortimer Pinkett-Smith		
9	5: Bleach for America	Murr	Monsieur Jumblies	😆	
9	5: Bleach for America	Murr	Shirley Itsaboobjob	😆	
9	5: Bleach for America	Murr	Slick Deuceman, Attorney-at-Law	😆	
9	5: Bleach for America	Murr	Albie Darforyu	😆	
9	5: Bleach for America	Murr	Wicket Fot		
9	5: Bleach for America	Murr	Teddy Sandcastles		🚫
9	5: Bleach for America	Murr	Call Me Wild Balls		🚫
9	5: Bleach for America	Murr	Fridgey Stinks		🚫
9	5: Bleach for America	Joe	Hung Miner		
9	5: Bleach for America	Joe	P.P. Balloons		
9	5: Bleach for America	Joe	Blo Fongool		
9	5: Bleach for America	Joe	Grandfather Flesh		
9	5: Bleach for America	Joe	Smallmedium Fat	😆	
9	5: Bleach for America	Joe	Lassassa Sassassa Shingots	😆	
9	5: Bleach for America	Joe	Muthaph**(uk)ka Doug White	😆	
9	5: Bleach for America	Joe	Frankie Beans		🚫
9	5: Bleach for America	Joe	Suge Knight Shyamalan		🚫
9	5: Bleach for America	Joe	Mentholomew Ka-ching		🚫
9	5: Bleach for America	Q	Johnny Calabash		
9	5: Bleach for America	Q	Raylee Ota		
9	5: Bleach for America	Q	Toodles Valentine		
9	5: Bleach for America	Q	Buffalo Childrens	😆	
9	5: Bleach for America	Q	Forgettable Lisa		
9	5: Bleach for America	Q	Alpha Noogiepuss	😆	
9	5: Bleach for America	Q	Beefies Candelabra	😆	
9	5: Bleach for America	Q	Karen Whitebitch		
9	5: Bleach for America	Q	The One-and-Only Egg Montoya		
9	5: Bleach for America	Q	Humjob, Texas Ranger	😆	
9	5: Bleach for America	Q	Butta Onaroll		🚫
9	5: Bleach for America	Q	Chef Linguini		🚫
9	5: Bleach for America	Q	Kentucky Blubber		🚫
9	5: Bleach for America	Q	Maya Twoat Hurts		🚫
9	5: Bleach for America	Sal	Tina Melt		
9	5: Bleach for America	Sal	Noice Pahnts		
9	5: Bleach for America	Sal	Coach Grapefruit	😆	
9	5: Bleach for America	Sal	Mrs. Skinbag		
9	5: Bleach for America	Sal	Varmint O'Einstein		
9	5: Bleach for America	Sal	Gnarly Ratsack	😆	
9	5: Bleach for America	Sal	Pope Lips		
9	5: Bleach for America	Sal	Sgunnt Funkster, Duchess of Sussex	😆	
9	5: Bleach for America	Sal	Tristan Crackers		🚫
9	5: Bleach for America	Sal	Deuteronomy Crawdad		🚫
9	5: Bleach for America	Sal	Juan Macarena		🚫
APS2	3: Bull Shiatsu	Sal	Daddy O'Jesus		🚫
APS2	3: Bull Shiatsu	Joe	Jessica Sucks		🚫
APS2	3: Bull Shiatsu	Q	Wife No-Husband		🚫
APS2	3: Bull Shiatsu	Murr	Guy Feethairy		🚫
APS2	3: Bull Shiatsu	Joe	Yoyo Fookallyall		🚫
APS2	3: Bull Shiatsu	Sal	Willem DeFart		🚫
APS2	3: Bull Shiatsu	Murr	Francis Gotdeeznuts		🚫
APS2	3: Bull Shiatsu	Q	Hoodoze Hethinkheis		🚫
APS2	3: Bull Shiatsu	Sal	Gracious Matatius		🚫
APS2	3: Bull Shiatsu	Murr	Bliss Throatman		🚫
APS2	3: Bull Shiatsu	Sal	Hugo Girl		🚫
APS2	3: Bull Shiatsu	Q	Fozzy Rock		🚫
APS2	3: Bull Shiatsu	Joe	Little Tugs		🚫
APS2	3: Bull Shiatsu	Sal	Mahamas Inabox		🚫
APS2	3: Bull Shiatsu	Joe	Dinky Fort		🚫
APS2	3: Bull Shiatsu	Murr	Mausay Boingboing		🚫
APS2	3: Bull Shiatsu	Q	Chili Tang		🚫
APS2	3: Bull Shiatsu	Joe	Fran Sweatham		🚫
APS2	3: Bull Shiatsu	Murr	Gargamel Cosplay		🚫
APS2	3: Bull Shiatsu	Sal	Cling Clang		🚫
APS2	3: Bull Shiatsu	Joe	Hype Produce		🚫
APS2	3: Bull Shiatsu	Q	Fufu McShit		🚫
APS2	3: Bull Shiatsu	Sal	Obese Jackson		🚫
APS2	3: Bull Shiatsu	Murr	Ugly Kid		🚫
APS2	3: Bull Shiatsu	Sal	Charlene En Cuisine		🚫
APS2	3: Bull Shiatsu	Q	Histine Chapel		🚫
APS2	3: Bull Shiatsu	Joe	Nipsy Teets		🚫
APS3	8: It's Electric	Dan	Anita Shavedownthere	M	
APS3	8: It's Electric	Dan	Haha Clinton Dix	SJM	
APS3	8: It's Electric	Dan	Jinglebell Jinglebell Jinglebell Smith	SM	
APS3	8: It's Electric	Dan	Dr. Ghostpubes	SM	
APS3	8: It's Electric	Dan	Jason Staircase Ladyparts	M	
APS3	8: It's Electric	Dan	Mai Sun Suks	SMQ	
APS3	8: It's Electric	Dan	Karma Sabbich	SQM	
APS3	8: It's Electric	Dan	Susan B. Thicke	SJQM	
